学校名,学年,出願期間,試験日,試験実施期間,発表日,入試科目,面接,募集人員,URL,ページタイトル,所在地,連絡先,詳細,入試科目等,出願期間等
海陽中等教育学校,新1～4年,9/30～10/9,10/12　※ バンコク・シンガポール・上海会場,,10/14,英・数・国,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/8350/,2024年10月実施　中学転・編入試験要項　海陽中等教育学校,愛知県蒲郡市,0533-58-2407,ホームページ・詳細はこちら,,
青稜高等学校,"1,2年",6/20～6/22,6/29,,7/1,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7047/,2024年6月実施　高校転・編入試験要項　青稜高等学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
ドルトン東京学園高等部,"1,2年",6/24～7/8,7/22,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7197/,2024年7月実施　高校転・編入試験要項　ドルトン東京学園高等部,東京都調布市,03-5787-7945,ホームページ・詳細はこちら,,
青稜中学校,"新2,3年",2/20～2/22,3/1,,3/3,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10210/,2025年3月実施　中学転・編入試験要項　青稜中学校,東京都品川区,03-3782-1502,ホームページ・詳細はこちら,,
英数学館中学校,"1,2,3年",6/24～6/27,7/8,,7/12,英・数・国※ イマージョンAの英・数は英語で出題,受・保※ イマージョンAの面は日・英,若干名,https://www.jolnet.com/transfer/7449/,2024年7月実施　中学転・編入試験要項　英数学館中学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
自由の森学園中学校,新3年,～3/6,3/13,,3/13,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10847/,2025年3月実施　中学転・編入試験要項　自由の森学園中学校,埼玉県飯能市,042-972-3131,ホームページ・詳細はこちら,,
広尾学園小石川中学校,"1,2,3年",7/8～7/16,7/22,,7/23,英・数・国　※ 英・数は英語表記,受のみ（日・英）,若干名,https://www.jolnet.com/transfer/7343/,2024年7月実施　中学転・編入試験要項　広尾学園小石川中学校,東京都文京区,03-5940-4455,ホームページ・詳細はこちら,,
東京学芸大学附属国際中等教育学校,1～5年,5/15～5/22,7/2,,7/3,作（外国語・日）,受のみグループ,若干名,https://www.jolnet.com/transfer/7053/,2024年7月実施　中学転・編入試験要項　東京学芸大学附属国際中等教育学校,東京都練馬区,03-5905-1326,ホームページ・詳細はこちら,,
不二聖心女子学院高等学校,新1年,1/15～1/30　※ 要受験相談,2/4,,2/5,英・数 or 英・国,受のみ＋受・保,5名,https://www.jolnet.com/transfer/9905/,2025年2月実施　高校転・編入試験要項　不二聖心女子学院高等学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
城西大学附属城西高等学校,新3年,2/17～3/3　※ 要事前相談,3/5,,3/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10166/,2025年3月実施　高校転・編入試験要項　城西大学附属城西高等学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
佼成学園女子中学校,"1,2,3年",6/14～6/28,7/5　※ 海外在住者はOL可,,7/5,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/7331/,2024年7月実施　中学転・編入試験要項　佼成学園女子中学校,東京都世田谷区,03-3300-2351,ホームページ・詳細はこちら,,
佼成学園女子高等学校,"1,2年",11/15～11/29,12/6　※ 海外在住者はOL可,,12/6,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/9301/,2024年12月実施　高校転・編入試験要項　佼成学園女子高等学校,東京都世田谷区,03-3300-2351,ホームページ・詳細はこちら,,
目白研心中学校,1年,11/25～11/29,12/5,,12/5,英・国 or 英・数,受・保,若干名,https://www.jolnet.com/transfer/8590/,2024年12月実施　中学転・編入試験要項　目白研心中学校,東京都新宿区,03-5996-3133,ホームページ・詳細はこちら,,
名古屋中学校,"1,2年",6/3～7/10,8/19,,8/19,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7250/,2024年8月実施　中学転・編入試験要項　名古屋中学校,愛知県名古屋市,052-721-5271,ホームページ・詳細はこちら,,
カリタス女子高等学校,"1,2年",6/10～6/24,7/4,,7/4,英・数・国 or 仏・数・国,受・保,若干名,https://www.jolnet.com/transfer/6913/,2024年7月実施　高校転・編入試験要項　カリタス女子高等学校,神奈川県川崎市,044-911-4656,ホームページ・詳細はこちら,,
桐光学園中学校,"1,2年",11/27～12/3,12/7,,12/7,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/9642/,2024年12月実施　中学転・編入試験要項　桐光学園中学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
東洋大学附属姫路高等学校,"新2,3年",3/3～3/7,3/11,,3/11,英・数・国,受・保,欠員分,https://www.jolnet.com/transfer/10273/,2025年3月実施　高校転・編入試験要項　東洋大学附属姫路高等学校,兵庫県姫路市,079-266-2626,ホームページ・詳細はこちら,,
関西学院千里国際高等部,"1,2年",5/27～5/19,6/15　※ OL実施,,6/17,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/6771/,2024年6月実施　高校転・編入試験要項　関西学院千里国際高等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
逗子開成中学校,"新2,3年",2/17～2/22,3/12,,3/12,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10172/,2025年3月実施　中学転・編入試験要項　逗子開成中学校,神奈川県逗子市,046-871-2062,ホームページ・詳細はこちら,,
桜美林高等学校,新2年,2/10～2/25　※ 要事前相談,3/10,,3/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10071/,2025年3月実施　高校転・編入試験要項　桜美林高等学校,東京都町田市,042-797-2667,ホームページ・詳細はこちら,,
暁星高等学校,新2年,2/6～2/10,2/17,,2/18,英・数・国 or 仏・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10441/,2025年2月実施　高校転・編入試験要項　暁星高等学校,東京都千代田区,03-3262-3291,ホームページ・詳細はこちら,,
成蹊中学校,新2年,11/26～12/2,12/23,,12/23,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9640/,2024年12月実施　中学転・編入試験要項　成蹊中学校,東京都武蔵野市,0422-37-3818,ホームページ・詳細はこちら,,
サレジアン国際学園中学校,"1,2年",7/5～7/12,7/16,,7/17,本科：インターナショナルSG：英・数・国インターナショナルAG：英エッセイ・英,受・保※ インターナショナルAGは受のみインタビュー（日・英）あり,若干名,https://www.jolnet.com/transfer/7637/,2024年7月実施　中学転・編入試験要項　サレジアン国際学園中学校,東京都北区,03-3906-7551,ホームページ・詳細はこちら,,
富士見高等学校,"1,2年",6/17～6/29,7/6,,7/6,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7118/,2024年7月実施　高校転・編入試験要項　富士見高等学校,東京都練馬区,03-3999-2136,ホームページ・詳細はこちら,,
京華女子中学校,"1,2年",11/28～12/5　※ 要事前連絡,12/7,,12/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9703/,2024年12月実施　中学転・編入試験要項　京華女子中学校,東京都文京区,03-3946-4434,ホームページ・詳細はこちら,,
トキワ松学園中学校,"新2,3年",2/21～3/1,3/6,,3/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10325/,2025年3月実施　中学転・編入試験要項　トキワ松学園中学校,東京都目黒区,03-3713-8161,ホームページ・詳細はこちら,,
城西大学附属城西高等学校,2年（理系クラス）,11/19～12/3　※ 要事前相談,12/5,,12/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9439/,2024年12月実施　高校転・編入試験要項　城西大学附属城西高等学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
麗澤瑞浪中学校,"1,2,3年",※ 要事前連絡,7月,,,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7504/,2024年7月実施　中学転・編入試験要項　麗澤瑞浪中学校,岐阜県瑞浪市,0572-66-3111,ホームページ・詳細はこちら,,
不二聖心女子学院中学校,"1,2,3年",～11/21　※ 要受験相談,11/23,,,英・数 or 英・国,受のみ＋受・保,欠員分,https://www.jolnet.com/transfer/8490/,2024年11月実施　中学転・編入試験要項　不二聖心女子学院中学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
三田国際学園中学校,2年,7/1～7/8　※ 要事前面談,7/23,,7/23,英（英語による出題）,受のみ（日・英）,若干名,https://www.jolnet.com/transfer/7264/,2024年7月実施　中学転・編入試験要項　三田国際学園中学校,東京都港区,03-3441-2005,ホームページ・詳細はこちら,,
弘学館中学校,"新2,3年",2/1～2/22,3/7,,3/8,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10482/,2025年3月実施　中学転・編入試験要項　弘学館中学校,佐賀県佐賀市,0952-98-2161,ホームページ・詳細はこちら,,
セントヨゼフ女子学園中学校,"新2,3年",2/10～2/17,3/5,,郵送,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10490/,2025年3月実施　中学転・編入試験要項　セントヨゼフ女子学園中学校,三重県津市,059-227-6465,ホームページ・詳細はこちら,,
開智望中等教育学校,"1,2,3年",11/1～12/5,12/7,,個別連絡,基礎学力検査,受のみ,若干名,https://www.jolnet.com/transfer/8720/,2024年12月実施　中学転・編入試験要項　開智望中等教育学校,茨城県つくばみらい市,0297-38-8857,ホームページ・詳細はこちら,,
佼成学園女子高等学校,"新2,3年",2/11～2/25,3/4　※ 海外在住者はOL可,,3/4,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/10112/,2025年3月実施　高校転・編入試験要項　佼成学園女子高等学校,東京都世田谷区,03-3300-2351,ホームページ・詳細はこちら,,
芝国際高等学校,"1,2年",7/16～7/18,7/23,,7/24,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7390/,2024年7月実施　高校転・編入試験要項　芝国際高等学校,東京都港区,03-3451-0912,ホームページ・詳細はこちら,,
梅花高等学校,"新2,3年",～3/12　※ 要事前相談,3/17,,3/18,英・数・国・作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/10855/,2025年3月実施　高校転・編入試験要項　梅花高等学校,大阪府豊中市,06-6852-0002,ホームページ・詳細はこちら,,
啓明学園中学校,"新2,3年",2/20～3/10,オンライン型：3/19来校型：3/21,,3/21,オンライン型　英語型：英作　日本語型：作　外国語型：外国語作来校型　英語型：作（日・英）　日本語型：英・数・国　外国語型：作（日・外国語）,受のみ　※ 3/15 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/10207/,2025年3月実施　中学転・編入試験要項　啓明学園中学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
名古屋国際中学校,"1,2,3年",～11/1,11/11,,12/2,英・数・国　※ オンライン実施,受・保,各学年5名,https://www.jolnet.com/transfer/8716/,2024年11月実施　中学転・編入試験要項　名古屋国際中学校,愛知県名古屋市,052-858-2200,ホームページ・詳細はこちら,,
関西学院千里国際高等部,"新1,2,3年",3/10～3/11,3/19　※ OL実施,,3/21,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/10307/,2025年3月実施　高校転・編入試験要項　関西学院千里国際高等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
京華高等学校,新2年,2/26～3/2　※ 要事前相談,3/5,,3/5,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/5732/,2024年3月実施　高校転・編入試験要項　京華高等学校,東京都文京区,03-3946-4451,ホームページ・詳細はこちら,,
英数学館中学校,"新2,3年",2/17～2/21,3/3,,3/7,英・数・国※ イマージョンAの英・数は英語で出題,受・保※ イマージョンAは日・英,若干名,https://www.jolnet.com/transfer/10176/,2025年3月実施　中学転・編入試験要項　英数学館中学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
弘学館中学校,"1,2,3年",6/24～7/5,7/22,,7/23,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7455/,2024年7月実施　中学転・編入試験要項　弘学館中学校,佐賀県佐賀市,0952-98-2161,ホームページ・詳細はこちら,,
宝仙学園順天堂大学系属理数インター中学校,新2年,2/11～2/25,3/4,,3/4,英・数・国グローバルコース：数・国・英エッセイ,受のみ　※ グローバルコースの面は日・英,若干名,https://www.jolnet.com/transfer/10114/,2025年3月実施　中学転・編入試験要項　宝仙学園順天堂大学系属理数インター中学校,東京都中野区,03-3371-7103,ホームページ・詳細はこちら,,
佼成学園高等学校,"新2,3年",2/2～2/17,2/23　※ オンライン,,2/25,作（出願時提出）,受のみ,若干名,https://www.jolnet.com/transfer/10061/,2025年2月実施　高校転・編入試験要項　佼成学園高等学校,東京都杉並区,03-3381-7227,ホームページ・詳細はこちら,,
逗子開成高等学校,1年,6/3～6/10,6/25,,6/25,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7109/,2024年6月実施　高校転・編入試験要項　逗子開成高等学校,神奈川県逗子市,046-871-2062,ホームページ・詳細はこちら,,
桜美林中学校,新3年,2/10～2/25　※ 要事前相談,3/10,,3/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10069/,2025年3月実施　中学転・編入試験要項　桜美林中学校,東京都町田市,042-797-2668,ホームページ・詳細はこちら,,
愛知淑徳中学校,"2,3年",～7/1　※ 要事前相談,7/18,,7/18,英・数・国,受のみ,欠員分,https://www.jolnet.com/transfer/6923/,2024年7月実施　中学転・編入試験要項　愛知淑徳中学校,愛知県名古屋市,052-781-1151,ホームページ・詳細はこちら,,
広尾学園小石川中学校,"新2,3年",11/23～12/6,12/16,,12/18,英・数・国※ インターナショナルコースAGの英・数は英語表記,受のみ※ インターナショナルコースAGの面は日・英,若干名,https://www.jolnet.com/transfer/9583/,2024年12月実施　中学転・編入試験要項　広尾学園小石川中学校,東京都文京区,03-5940-4455,ホームページ・詳細はこちら,,
茗溪学園高等学校,1年,5/14～5/21,6/4　※ オンライン実施,,6/11,A方式：英・作　IB方式：英・数・エッセイ,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/6932/,2024年6月実施　高校転・編入試験要項　茗溪学園高等学校,茨城県つくば市,029-851-6611,ホームページ・詳細はこちら,,
福岡女学院中学校,"新2,3年",3/3～3/10,3/21,,3/21,英作,受・保別々,若干名,https://www.jolnet.com/transfer/10279/,2025年3月実施　中学転・編入試験要項　福岡女学院中学校,福岡県福岡市,092-575-2470,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,"4,5年",～9/5,9/12,,9/12,英・数・国・作,受のみ,4年：3名　5年：7名,https://www.jolnet.com/transfer/7766/,2024年9月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
富士見丘高等学校,"1,2年",6/14～6/26,7/1,,7/1,A方式：英エッセイ・作B方式：英・数・国,受・保,若干名,https://www.jolnet.com/transfer/6850/,2024年7月実施　高校転・編入試験要項　富士見丘高等学校,東京都渋谷区,03-3376-1481,ホームページ・詳細はこちら,,
桐朋女子高等学校,"新2,3年",2/14～2/19,3/1,,3/1,A：作（英 or 仏 or 独）B：英・国 or 英・数,受のみ,各学年5名,https://www.jolnet.com/transfer/10153/,2025年3月実施　高校転・編入試験要項　桐朋女子高等学校,東京都調布市,03-3300-2111,ホームページ・詳細はこちら,,
梅花高等学校,"1,2年",～7/13　※ 要事前相談,7/18,,7/19,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7446/,2024年7月実施　高校転・編入試験要項　梅花高等学校,大阪府豊中市,06-6852-0001,ホームページ・詳細はこちら,,
大妻中野中学校,"1,2,3年",9/28～10/7,10/19　※ シンガポール会場,,10/25,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/8488/,2024年10月実施　中学転・編入試験要項　大妻中野中学校,東京都中野区,03-3389-7211,ホームページ・詳細はこちら,,
如水館高等学校,"1,2年",12/2～12/9　※ 要事前連絡,12/17,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9717/,2024年12月実施　高校転・編入試験要項　如水館高等学校,広島県三原市,0848-63-2423,ホームページ・詳細はこちら,,
岩田中学校,"1,2,3年",6/19～7/19,8/1,,8/1,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/7567/,2024年8月実施　中学転・編入試験要項　岩田中学校,大分県大分市,097-558-3007,ホームページ・詳細はこちら,,
市川中学校,"1,2,3年",6/24～7/1,7/8,,7/9,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7191/,2024年7月実施　中学転・編入試験要項　市川中学校,千葉県市川市,047-339-2681,ホームページ・詳細はこちら,,
目白研心中学校,"新2,3年",2/22～2/26,3/3,,3/3,英・国 or 英・数,受・保,若干名,https://www.jolnet.com/transfer/10216/,2025年3月実施　中学転・編入試験要項　目白研心中学校,東京都新宿区,03-5996-3133,ホームページ・詳細はこちら,,
啓明学園中学校,"1,2,3年",6/22～7/8,OL型：7/18来校型：7/19,,7/19,OL型 　 英語型：英作日本語型：作外国語型：作（学習言語による）来校型　英語型：英・作（日・英）日本語型：英・数・国外国語型：作（日・外国語）,受のみ※ 7/13 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/7171/,2024年7月実施　中学転・編入試験要項　啓明学園中学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
十文字高等学校,1年,～12/9,12/16,,12/16,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/9806/,2024年12月実施　高校転・編入試験要項　十文字高等学校,東京都豊島区,03-3918-3977,ホームページ・詳細はこちら,,
愛知中学校,"新2,3年",～2/28,3/7,,3/7,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10443/,2025年3月実施　中学転・編入試験要項　愛知中学校,愛知県名古屋市,052-721-1521,ホームページ・詳細はこちら,,
東京女学館中学校,"国際学級 1,2年",6/19～6/25,7/10　※ OLも可,,7/10,英・数・国※ 英語検定準2級以上を取得者は、英語の試験を免除,受のみ,若干名,https://www.jolnet.com/transfer/7125/,2024年7月実施　中学転・編入試験要項　東京女学館中学校,東京都渋谷区,03-3400-0867,ホームページ・詳細はこちら,,
富士見中学校,"2,3年",11/25～12/7,12/14,,12/14,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9595/,2024年12月実施　中学転・編入試験要項　富士見中学校,東京都練馬区,03-3999-2136,ホームページ・詳細はこちら,,
青稜中学校,"1,2年",6/20～6/22,6/29,,7/1,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7045/,2024年6月実施　中学転・編入試験要項　青稜中学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
緑ヶ丘女子高等学校,"新2,3年",3/10～3/17,3/18,,3/18,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10303/,2025年3月実施　高校転・編入試験要項　緑ヶ丘女子高等学校,神奈川県横須賀市,046-822-1651,ホームページ・詳細はこちら,,
西大和学園高等学校,"1,2,3年",10/28～11/27,12/10,,12/12,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/8583/,2024年12月実施　高校転・編入試験要項　西大和学園高等学校,奈良県河合町,0745-73-6565,ホームページ・詳細はこちら,,
国際基督教大学高等学校,"1,2年",6/17～6/21※ 6/2までに資格認定を受けること,7/8,,7/9,書類審査,受のみ　※ Zoomにて面接,各学年男女計10名,https://www.jolnet.com/transfer/6852/,2024年7月実施　高校転・編入試験要項　国際基督教大学高等学校,東京都小金井市,0422-33-3401,ホームページ・詳細はこちら,,
富士見丘高等学校,"1,2年",9/16～10/18,11/9,,11/20,A方式：英エッセイ・作B方式：英・数・国から2科目,受・保,若干名,https://www.jolnet.com/transfer/8343/,2024年11月実施　高校転・編入試験要項　富士見丘高等学校,,,,,
セントヨゼフ女子学園高等学校,1年,6/17～6/21,7/3,,郵送,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7256/,2024年7月実施　高校転・編入試験要項　セントヨゼフ女子学園高等学校,三重県津市,059-227-6465,ホームページ・詳細はこちら,,
佼成学園中学校,"新2,3年",2/2～2/17,2/23　※ オンライン,,2/25,作（出願時提出）,受のみ,若干名,https://www.jolnet.com/transfer/10059/,2025年2月実施　中学転・編入試験要項　佼成学園中学校,東京都杉並区,03-3381-7227,ホームページ・詳細はこちら,,
小林聖心女子学院高等学校,1年,6/10～6/17　※ 要事前相談,7/1,,7/1,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/6936/,2024年7月実施　高校転・編入試験要項　小林聖心女子学院高等学校,兵庫県宝塚市,0797-71-7321,ホームページ・詳細はこちら,,
成蹊中学校,国際学級 1年,6/17～6/21,7/4,,7/4,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6920/,2024年7月実施　中学転・編入試験要項　成蹊中学校,東京都武蔵野市,0422-37-3818,ホームページ・詳細はこちら,,
名古屋国際高等学校,"1,2年",～11/1,11/11,,12/2,英・数・国　※ オンライン実施,受・保,各学年5名,https://www.jolnet.com/transfer/8718/,2024年11月実施　高校転・編入試験要項　名古屋国際高等学校,愛知県名古屋市,052-853-5151,ホームページ・詳細はこちら,,
啓明学園高等学校,"新2,3年",2/20～3/10,オンライン型：3/19来校型：3/21,,3/21,オンライン型　英語型：英作　日本語型：作　外国語型：外国語作来校型　英語型：作（日・英）　日本語型：英・数・国　外国語型：作（日・外国語）,受のみ　※ 3/15 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/10269/,2024年3月実施　高校転・編入試験要項　啓明学園高等学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
東京成徳大学中学校,"新2,3年",3/1～3/19,3/22,,3/22,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10271/,2025年3月実施　中学転・編入試験要項　東京成徳大学中学校,東京都北区,03-3911-7109,ホームページ・詳細はこちら,,
西大和学園中学校,新2年,1/25～2/24,3/10,,3/13,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/9970/,2025年3月実施　中学転・編入試験要項　西大和学園中学校,奈良県河合町,0745-73-6565,ホームページ・詳細はこちら,,
成蹊高等学校,新2年,2/24～3/5　※ 要事前相談,3/14,,3/14,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10238/,2025年3月実施　高校転・編入試験要項　成蹊高等学校,東京都武蔵野市,0422-37-3818,ホームページ・詳細はこちら,,
女子美術大学付属中学校,新2年,2/12～2/20,2/23,,2/25,英・数・国・美,受・保別々,若干名,https://www.jolnet.com/transfer/10551/,2025年2月実施　中学転・編入試験要項　女子美術大学付属中学校,東京都杉並区,03-5340-4541,ホームページ・詳細はこちら,,
佼成学園女子中学校,"新2,3年",2/11～2/25,3/4　※ 海外在住者はOL可,,3/4,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/10110/,2025年3月実施　中学転・編入試験要項　佼成学園女子中学校,東京都世田谷区,03-3300-2351,ホームページ・詳細はこちら,,
芝国際中学校,"新2,3年",2/22～2/25,3/3,,3/4,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10321/,2025年3月実施　中学転・編入試験要項　芝国際中学校,東京都港区,03-3451-0912,ホームページ・詳細はこちら,,
立命館宇治中学校,"1,2,3年",6/3～6/17,6/29　※ OL実施,,7/4,ICコース　A方式（2年）：小論文（日 or 英）IPコース　IP方式（1，2年）IB方式（3年）：数（英）・小論文（英）,受のみ＋受・保※ ICコース：日　IPコース：英（一部日あり）,若干名,https://www.jolnet.com/transfer/6773/,2024年6月実施　中学転・編入試験要項　立命館宇治中学校,京都府宇治市,0774-41-3000,ホームページ・詳細はこちら,,
十文字中学校,"1,2年",～12/9,12/16,,12/16,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/9804/,2024年12月実施　中学転・編入試験要項　十文字中学校,東京都豊島区,03-3918-3977,ホームページ・詳細はこちら,,
桜美林高等学校,"1,2年",6/24～7/6　※ 要事前相談,7/16,,7/16,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6918/,2024年7月実施　高校転・編入試験要項　桜美林高等学校,東京都町田市,042-797-2667,ホームページ・詳細はこちら,,
西武学園文理中学校,"新2,3年",3/3～3/5,3/7,,3/7,英・数・国・作,受のみ,若干名,https://www.jolnet.com/transfer/10451/,2025年3月実施　中学転・編入試験要項　西武学園文理中学校,埼玉県狭山市,04-2954-4080,ホームページ・詳細はこちら,,
麗澤高等学校,2年,6/10～7/5,7/13,,7/16,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/6846/,2024年7月実施　高校転・編入試験要項　麗澤高等学校,千葉県柏市,04-7173-3700,ホームページ・詳細はこちら,,
弘学館高等学校,新2年,2/1～2/22,3/7,,3/8,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10484/,2025年3月実施　高校転・編入試験要項　弘学館高等学校,佐賀県佐賀市,0952-98-2161,ホームページ・詳細はこちら,,
不二聖心女子学院中学校,"1,2年",～12/14　※ 要受験相談,12/21,,2/5,英・数 or 英・国,受のみ＋受・保,欠員分,https://www.jolnet.com/transfer/8999/,2024年12月実施　中学転・編入試験要項　不二聖心女子学院中学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
自由学園中等部,"1,2,3年",6/29～7/9,7/13,,7/14,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7258/,2024年7月実施　中学転・編入試験要項　自由学園中等部,東京都東久留米市,042-422-3111,ホームページ・詳細はこちら,,
西南学院高等学校,新2年,～3/8,3/14,,3/14,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6104/,2024年3月実施　高校転・編入試験要項　西南学院高等学校,福岡県福岡市,092-841-1317,ホームページ・詳細はこちら,,
